oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
13,88,2016,2016.0,23.65,1,1,1,750000.0,5.0,0,93725.0,3.8297872340425534,5.294117647058824,2.307692307692308,0,4
13,79,2016,2016.0,19.12,3,0,2,632000.0,4.0,0,115599.0,4.680851063829787,7.058823529411765,3.8461538461538463,0,3
13,90,2015,2016.0,22.41,3,1,1,645000.0,5.0,0,43469.0,4.893617021276596,6.470588235294118,3.8461538461538463,3,3
17,101,2008,2008.0,14.7,3,1,1,299000.0,5.0,0,72000.0,3.404255319148936,5.882352941176471,1.9230769230769236,2,3
23,150,2021,2021.0,18.24,3,1,2,999000.0,6.0,0,40771.0,5.531914893617022,7.058823529411765,5.384615384615384,2,0
7,33,2018,2018.0,18.7,3,1,1,825000.0,5.0,0,28000.0,4.468085106382979,6.470588235294118,4.615384615384615,0,0
13,93,2008,2008.0,18.9,3,1,3,250000.0,5.0,0,40000.0,1.9148936170212765,2.3529411764705883,1.153846153846154,0,0
8,49,2020,2020.0,18.15,3,0,1,1295000.0,7.0,0,26000.0,7.23404255319149,6.470588235294118,6.538461538461538,0,4
13,93,2012,2012.0,18.9,3,1,1,329000.0,5.0,0,76032.0,3.191489361702128,4.11764705882353,3.4615384615384617,0,0
13,79,2018,2018.0,21.56,3,1,1,666000.0,5.0,0,113780.0,5.531914893617022,6.470588235294118,3.8461538461538463,0,3
0,0,2019,2020.0,20.38,1,0,1,2290000.0,6.0,0,24000.0,6.595744680851064,7.647058823529413,6.153846153846154,2,3
8,49,2020,2020.0,23.7,1,1,2,1026000.0,6.0,0,65812.0,7.446808510638299,7.058823529411765,7.3076923076923075,2,4
20,116,2022,2022.0,17.2,3,0,1,1700000.0,6.0,0,10000.0,6.170212765957447,5.882352941176471,7.692307692307692,2,4
13,74,2016,2016.0,21.4,3,1,1,681000.0,5.0,0,39959.0,5.531914893617022,6.470588235294118,4.615384615384615,3,0
13,73,2016,2017.0,24.39,3,1,3,318000.0,5.0,0,65484.0,4.042553191489362,2.941176470588235,1.5384615384615383,2,0
13,74,2017,2017.0,21.4,3,1,1,688000.0,5.0,0,49174.0,5.531914893617022,6.470588235294118,4.615384615384615,0,0
23,151,2022,2022.0,20.08,3,1,1,1300000.0,6.0,0,20000.0,5.319148936170214,4.705882352941177,3.8461538461538463,2,4
